"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period4-5Vio,Period4-5NonVio,Period4-5VForOp,Period4-5Senior,Period4-5Gun,Period4-5IED_C,Period4-5IED_P,Period4-5ForOp,Period4-5Rob
ZF1245,0,0,99999,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ZF1253,0,0,99999,25,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF1256,1,1,99999,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF126,0,0,99999,22,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF1264,0,1,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1267,0,0,99999,27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1268,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF127,0,0,1,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1278,0,0,99999,26,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1280,0,0,99999,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1283,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1294,0,0,99999,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1300,0,0,1,28,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1301,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1305,0,0,1,19,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1
ZF1312,0,0,1,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1313,0,0,99999,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1314,0,0,99999,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1322,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1326,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1334,0,0,99999,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1336,0,0,99999,16,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
ZF1340,0,0,99999,34,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1342,0,0,99999,49,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1346,0,0,1,21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF1349,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1350,0,0,1,28,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
ZF1353,0,0,99999,20,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
ZF1358,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1367,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1369,0,0,99999,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1371,0,0,99999,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1373,0,0,1,21,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1381,0,0,99999,37,99999,99999,99999,99999,99999,99999,1,0,0,0,0,1,0,0,0
ZF140,0,1,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF150,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF153,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF156,0,0,99999,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF163,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF165,0,0,99999,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF167,0,0,99999,19,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF173,0,1,99999,29,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF174,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF179,0,0,99999,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF180,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF181,0,0,99999,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF185,0,0,99999,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF189,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF190,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF196,0,0,99999,29,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF2,0,0,99999,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF209,0,0,99999,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF210,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF217,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF220,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF224,0,0,99999,45,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF234,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF236,0,0,99999,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF244,0,0,99999,32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF25,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF253,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF256,0,0,1,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF257,0,0,99999,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF26,0,0,99999,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF265,0,0,99999,23,99999,99999,99999,99999,99999,99999,1,0,1,0,0,0,1,1,0
ZF268,0,0,99999,22,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF269,0,0,99999,32,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF27,0,0,0,23,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF275,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF281,0,0,99999,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF285,0,0,99999,37,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF288,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF292,0,0,99999,33,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF294,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF298,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF3,0,0,1,21,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ZF302,0,0,99999,21,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF314,0,0,99999,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF316,1,0,1,23,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF317,0,0,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF325,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF328,0,0,99999,21,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF331,0,0,1,24,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
ZF334,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF337,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF342,0,0,99999,35,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
