"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Period1Vio,Period1NonVio,Period1VForOp,Period1Senior,Period1Gun,Period1IED_C,Period1IED_P,Period1ForOp,Period1Rob
ZF410,0,0,99999,21,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF414,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF415,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF420,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF421,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF426,0,0,0,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF430,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF432,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF434,0,0,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF435,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF438,0,0,0,17,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF439,0,0,0,99999,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF444,0,0,0,19,0,0,1,0,0,1,0,0,0,0,0,1,1,0
ZF445,0,1,0,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF447,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF453,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF454,0,0,0,23,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF455,0,0,99999,25,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF457,0,0,0,29,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF459,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF461,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF464,0,1,1,23,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF466,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF467,0,0,0,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF469,0,0,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF478,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ZF479,0,0,1,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF481,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF483,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF487,0,0,99999,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF488,0,0,1,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF493,0,0,99999,26,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF502,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF507,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF517,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF524,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF525,0,0,99999,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF527,0,0,99999,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF528,0,0,99999,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ZF529,0,0,1,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF530,0,0,99999,24,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF533,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF534,0,0,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF535,0,0,99999,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF539,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF541,0,0,99999,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0
