"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period3Vio,Period3NonVio,Period3VForOp,Period3Senior,Period3Gun,Period3IED_C,Period3IED_P,Period3ForOp,Period3Rob
ZF340,1,0,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ZF344,0,0,99999,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF345,0,1,99999,21,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF349,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF35,0,0,99999,28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF350,0,0,1,27,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF351,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF356,0,0,1,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF358,0,0,0,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF359,0,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF360,0,0,99999,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF361,0,0,99999,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF37,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF370,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF371,0,0,99999,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF374,0,0,0,19,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF378,0,0,99999,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF385,0,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF390,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF391,1,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF392,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF394,0,0,1,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF395,0,0,99999,22,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,0,0
ZF396,0,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZF398,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF399,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF406,0,0,99999,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF407,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF410,0,0,99999,21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF411,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF414,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF415,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF416,0,0,0,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF418,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF420,0,0,0,18,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
ZF421,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF422,0,0,1,46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ZF423,1,1,0,23,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF430,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF431,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF432,0,0,0,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF434,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF437,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF44,1,1,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF441,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
